Wine_Name,Winery_Name
Вранец,Zaharchev Winery and Distillery
Вранец,Winery Chateau Sopot
Вранец,Winery Kartal
Вранец,Winery Popova kula
Вранец,Royal Winery Queen Maria
Вранец,Winery Brzanov
Вранец,Family Winery Peskov
Вранец,Winery Stobi
Вранец,Winery Popov
Вранец,S&S Winery
Вранец,Monastery Winery
Вранец,Winery Eros
Вранец,OldSchool Winery
Вранец,Winery Sarika
Вранец,Wine Bar & Winery Mal Sv. Kliment
Вранец,Winery Lazar
Вранец,Winery Valandovo
Вранец,Winery Skovin
Вранец,Winery Venec
Вранец,Winery Anevski
Вранец,Dalvina Winery
Вранец,Winery Badi
Вранец,Skovin AD Skopje Winery
Вранец,Wine Cellar Tikves AD Skopje
Вранец,Winery Ezimit
Вранец,Winery Grkov
Вранец,Imako Vino Winery
Вранец,Ciflik Winery
Вранец,GD Tikves Winery
Вранец,Ivanov Winery
Вранец,MILEV Winery
Вранец,Winery Movino
Вранец,Traikovsky Wines & Spirits
Вранец,Winery Bovin
Вранец,Winery Paragon
Кратошија,Winery Kamnik
Кратошија,Winery Kartal
Кратошија,Winery Brzanov
Кратошија,Winery Stobi
Кратошија,Winery Popov
Кратошија,Winery Lazar
Кратошија,Winery Skovin
Кратошија,Winery Venec
Кратошија,Skovin AD Skopje Winery
Кратошија,Wine Cellar Tikves AD Skopje
Кратошија,Imako Vino Winery
Кратошија,GD Tikves Winery
Кратошија,MILEV Winery
Кратошија,Winery Bovin
Каберне Совињон,Winery Kamnik
Каберне Совињон,Winery Chateau Sopot
Каберне Совињон,Winery Kartal
Каберне Совињон,Winery Popova kula
Каберне Совињон,Royal Winery Queen Maria
Каберне Совињон,Winery Brzanov
Каберне Совињон,Winery Kuvin
Каберне Совињон,Winery Stobi
Каберне Совињон,Winery Popov
Каберне Совињон,S&S Winery
Каберне Совињон,Monastery Winery
Каберне Совињон,Winery Eros
Каберне Совињон,OldSchool Winery
Каберне Совињон,Winery Lazar
Каберне Совињон,Winery Valandovo
Каберне Совињон,Winery Skovin
Каберне Совињон,Winery Venec
Каберне Совињон,Winery Jostela
Каберне Совињон,Winery Anevski
Каберне Совињон,Dalvina Winery
Каберне Совињон,Winery Badi
